"County","State","county_state","avg_processed_per_year","total_processed_all_years","percent_denied","total_denied","avg_num_paid","total_num_paid","percent_unpaid","Black","Latino","Native American","White","percent_nonwhite","minority_binned"
"Medina","Texas","Medina, Texas","33.33","200","24","48","18.83","113","44","2.9","50.6","0.9","45.3","54.7","75"
"Midland","Texas","Midland, Texas","115.17","691","15","103","87","522","24","6.8","41.1","1.1","50","50","50"
"Mohave","Arizona","Mohave, Arizona","114","342","13","43","85","255","25","1.3","15.5","2.9","78.4","21.6","25"
"Montgomery","Texas","Montgomery, Texas","233.17","1399","20","283","164.83","989","29","4.7","21.9","1","69.4","30.6","50"
"Moore","Texas","Moore, Texas","24.5","147","13","19","20","120","18","2.7","52.9","1.5","35.9","64.1","75"
"Nacogdoches","Texas","Nacogdoches, Texas","65.83","395","18","71","32","192","51","18.4","18.5","0.9","60.4","39.6","50"
"Navajo","Arizona","Navajo, Arizona","61.33","184","10","19","51.67","155","16","1.2","11","44.8","42.6","57.4","75"
"Navarro","Texas","Navarro, Texas","74.83","449","17","75","56.33","338","25","14","25.2","1.1","58.4","41.6","50"
"Nueces","Texas","Nueces, Texas","661.67","3970","23","904","472.33","2834","29","4.4","62","0.8","31.4","68.6","75"
"Orange","Texas","Orange, Texas","49.33","296","30","88","29.83","179","40","8.6","6.7","0.7","82","18","25"
"Orleans","Louisiana","Orleans, Louisiana","159.67","479","16","79","74.67","224","53","60.1","5.5","0.4","31","69","75"
"Palo Pinto","Texas","Palo Pinto, Texas","27.2","136","19","26","21","105","23","2.4","19.6","0.9","76","24","25"
"Panola","Texas","Panola, Texas","20.83","125","15","19","14","84","33","16","8.8","0.7","73.3","26.7","50"
"Parker","Texas","Parker, Texas","74.5","447","17","76","55.5","333","26","2","11.2","0.9","84.2","15.8","25"
"Pima","Arizona","Pima, Arizona","337","1011","21","211","263","789","22","4","35.7","4.2","53.9","46.1","50"
"Pinal","Arizona","Pinal, Arizona","106.67","320","14","45","93.33","280","12","4.8","29","6.8","58.2","41.8","50"
"Polk","Texas","Polk, Texas","73.33","440","20","90","51.83","311","29","11.4","14","2.2","71.5","28.5","50"
"Potter","Texas","Potter, Texas","498.67","2992","25","745","354.83","2129","29","10.8","36.7","1.3","47.1","52.9","75"
"Randall","Texas","Randall, Texas","69.33","416","23","96","49.5","297","29","3","18.7","0.9","75.3","24.7","25"
"Robertson","Texas","Robertson, Texas","30.5","183","25","45","21.83","131","28","21.3","19.2","0.9","58.3","41.7","50"
"Rockwall","Texas","Rockwall, Texas","23.83","143","20","29","18","108","24","6.1","16.7","0.7","72.8","27.2","50"
"Rusk","Texas","Rusk, Texas","40.67","244","22","53","23.33","140","43","17.6","15.7","1","64.9","35.1","50"
"San Patricio","Texas","San Patricio, Texas","47.67","286","20","56","34.17","205","28","2.1","55.4","0.9","40.8","59.2","75"
