"State","County","county_state","avg_processed_per_year","total_processed_all_years","percent_denied","total_denied","avg_num_paid","total_num_paid","percent_unpaid"
"Arizona","Pima","Pima, Arizona","337","1011","21","211","263","789","22"
"Arizona","Apache","Apache, Arizona","38.33","115","16","18","34.67","104","10"
"Arizona","Maricopa","Maricopa, Arizona","653","1959","15","300","560.67","1682","14"
"Louisiana","Lafayette","Lafayette, Louisiana","23.33","70","24","17","9","27","61"
"Louisiana","Calcasieu","Calcasieu, Louisiana","86","258","20","51","57.67","173","33"
"Louisiana","Jefferson","Jefferson, Louisiana","45.33","136","18","24","21","63","54"
"Texas","Bexar","Bexar, Texas","1992","11952","35","4155","1100.67","6604","45"
"Texas","Kleberg","Kleberg, Texas","24.67","148","34","50","14","84","43"
"Texas","Webb","Webb, Texas","185.83","1115","34","382","106.33","638","43"
